iter	Passed	Remaining
0	4	478
1	8	433
2	13	423
3	17	413
4	21	411
5	25	398
6	28	378
7	29	344
8	31	317
9	32	294
10	34	276
11	35	262
12	37	248
13	38	237
14	40	226
15	41	217
16	43	210
17	44	203
18	46	197
19	48	192
20	49	187
21	51	182
22	53	179
23	55	175
24	56	170
25	58	165
26	59	160
27	60	155
28	61	150
29	62	146
30	63	142
31	64	138
32	66	134
33	67	130
34	69	128
35	70	125
36	71	121
37	72	118
38	73	115
39	75	112
40	76	109
41	77	107
42	78	104
43	79	101
44	80	98
45	81	96
46	83	94
47	84	91
48	85	89
49	86	86
50	88	84
51	89	82
52	90	80
53	91	78
54	92	76
55	94	73
56	95	71
57	96	69
58	97	67
59	98	65
60	99	63
61	100	61
62	101	59
63	103	57
64	104	56
65	105	54
66	106	52
67	108	50
68	109	49
69	110	47
70	111	45
71	112	43
72	114	42
73	115	40
74	116	38
75	117	37
76	119	35
77	120	34
78	121	32
79	122	30
80	123	28
81	124	27
82	126	25
83	127	24
84	128	22
85	129	21
86	130	19
87	131	17
88	132	16
89	134	14
90	135	13
91	136	11
92	138	10
93	139	8
94	140	7
95	141	5
96	142	4
97	143	2
98	145	1
99	146	0
